================ Training Loss (Sat Mar  7 14:38:49 2026) ================
(epoch: 20, iters: 20, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.692 D_A: 0.000 D_B: 1.536 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.127 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 20, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.837 D_A: 0.000 D_B: 0.017 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 5.873 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 20, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 1.099 D_A: 0.000 D_B: 4.463 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 5.731 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 21, iters: 0, time: 0.004, data: 0.002) G_A: 0.000 G_B: 0.147 D_A: 0.000 D_B: 9.719 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.436 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 21, iters: 10, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.687 D_A: 0.000 D_B: 0.220 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.203 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 21, iters: 20, time: 0.004, data: 0.001) G_A: 0.000 G_B: 2.016 D_A: 0.000 D_B: 1.572 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 6.324 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 21, iters: 30, time: 0.004, data: 0.001) G_A: 0.000 G_B: 0.120 D_A: 0.000 D_B: 4.252 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 5.971 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 21, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.139 D_A: 0.000 D_B: 4.518 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 5.764 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 22, iters: 0, time: 0.004, data: 0.001) G_A: 0.000 G_B: 0.972 D_A: 0.000 D_B: 0.381 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 5.501 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 22, iters: 10, time: 0.003, data: 0.001) G_A: 0.000 G_B: 2.667 D_A: 0.000 D_B: 2.434 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 5.820 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
