Agilent_Probe_Name	GeneSymbol	GeneName	GO
UKv4_A_24_P919279	ZNF790	zinc finger protein 790	GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P258483	ANKRD55	ankyrin repeat domain 55	
UKv4_A_23_P68121	PSD4	pleckstrin and Sec7 domain containing 4	GO:0005086(ARF guanyl-nucleotide exchange factor activity)|GO:0005622(intracellular)|GO:0016020(membrane)|GO:0032012(regulation of ARF protein signal transduction)
UKv4_A_23_P112512	MCART1	mitochondrial carrier triple repeat 1	GO:0005488(binding)|GO:0005739(mitochondrion)|GO:0006810(transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P142796	LIMS2	LIM and senescent cell antigen-like domains 2	GO:0005634(nucleus)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P346206	RAE1	RAE1 RNA export 1 homolog (S. pombe)	GO:0003723(RNA binding)|GO:0005634(nucleus)|GO:0005640(nuclear outer membrane)|GO:0005643(nuclear pore)|GO:0005737(cytoplasm)|GO:0005856(cytoskeleton)|GO:0006406(mRNA export from nucleus)|GO:0008017(microtubule binding)
UKv4_A_23_P157809	LTB4DH	leukotriene B4 12-hydroxydehydrogenase	GO:0004022(alcohol dehydrogenase activity)|GO:0005737(cytoplasm)|GO:0006691(leukotriene metabolic process)|GO:0008270(zinc ion binding)|GO:0016491(oxidoreductase activity)|GO:0032440(2-alkenal reductase activity)|GO:0047522(15-oxoprostaglandin 13-oxidase
UKv4_A_23_P303891	LCE1C	late cornified envelope 1C	GO:0031424(keratinization)
UKv4_A_23_P5211	MUC16	mucin 16, cell surface associated	GO:0005515(protein binding)|GO:0007155(cell adhesion)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0019898(extrinsic to membrane)
UKv4_A_23_P17633	IFNAR1	interferon (alpha, beta and omega) receptor 1	GO:0009615=response to virus|GO:0007166=cell surface receptor linked signal transduction|GO:0007259=JAK-STAT cascade|GO:0045351=type I interferon biosynthetic process|GO:0016020=membrane|GO:0005887=integral to plasma membrane|GO:0005515=protein binding|GO
UKv4_A_23_P71111	DKFZP564O0523	hypothetical protein DKFZp564O0523	
UKv4_A_32_P30271	ARRDC5	arrestin domain containing 5	
UKv4_A_23_P1641	RCE1	RCE1 homolog, prenyl protein peptidase (S. cerevisiae)	GO:0005783(endoplasmic reticulum)|GO:0005887(integral to plasma membrane)|GO:0006508(proteolysis)|GO:0008487(prenyl-dependent CAAX protease activity)|GO:0016020(membrane)|GO:0016787(hydrolase activity)
UKv4_A_23_P30091	UCP1	uncoupling protein 1 (mitochondrial, proton carrier)	GO:0005215(transporter activity)|GO:0005515(protein binding)|GO:0005624(membrane fraction)|GO:0005739(mitochondrion)|GO:0005740(mitochondrial envelope)|GO:0005743(mitochondrial inner membrane)|GO:0006091(generation of precursor metabolites and energy)|GO:
UKv4_A_24_P64653	METTL7B	methyltransferase like 7B	GO:0008152(metabolic process)|GO:0008168(methyltransferase activity)|GO:0016740(transferase activity)
UKv4_A_23_P414269	TSR2	TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)	
UKv4_A_23_P251505	NSUN5	NOL1/NOP2/Sun domain family, member 5	GO:0008168(methyltransferase activity)|GO:0016740(transferase activity)
UKv4_A_23_P303149	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	GO:0000166(nucleotide binding)|GO:0004713(protein-tyrosine kinase activity)|GO:0004872(receptor activity)|GO:0005007(fibroblast growth factor receptor activity)|GO:0005515(protein binding)|GO:0005524(ATP binding)|GO:0006468(protein amino acid phosphorylat
UKv4_A_23_P357995	ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand	
UKv4_A_23_P215328	SFRP4	secreted frizzled-related protein 4	GO:0005615(extracellular space)|GO:0007165(signal transduction)|GO:0007566(embryo implantation)|GO:0016055(Wnt receptor signaling pathway)|GO:0030154(cell differentiation)
