================ Training Loss (Fri Sep 19 16:46:06 2025) ================
(epoch: 140, iters: 50, time: 0.037, data: 0.130) D_A: 0.094 G_A: 0.183 cycle_A: 3.522 idt_A: 1.517 D_B: 1.398 G_B: 2.091 cycle_B: 4.027 idt_B: 1.349 median_A: 2.602 median_B: 4.006 
(epoch: 142, iters: 50, time: 0.037, data: 0.135) D_A: 0.321 G_A: 0.752 cycle_A: 3.375 idt_A: 1.518 D_B: 1.007 G_B: 0.142 cycle_B: 4.064 idt_B: 1.346 median_A: 2.579 median_B: 4.069 
(epoch: 144, iters: 50, time: 0.037, data: 0.133) D_A: 0.089 G_A: 0.732 cycle_A: 3.360 idt_A: 1.514 D_B: 0.618 G_B: 0.899 cycle_B: 4.413 idt_B: 1.438 median_A: 2.595 median_B: 4.379 
(epoch: 146, iters: 50, time: 0.037, data: 0.132) D_A: 0.866 G_A: 1.029 cycle_A: 4.551 idt_A: 5.267 D_B: 0.795 G_B: 0.060 cycle_B: 17.701 idt_B: 1.652 median_A: 3.169 median_B: 18.118 
(epoch: 148, iters: 50, time: 0.037, data: 0.134) D_A: 6.903 G_A: 0.021 cycle_A: 2.785 idt_A: 2.564 D_B: 0.831 G_B: 0.081 cycle_B: 12.110 idt_B: 1.362 median_A: 2.808 median_B: 12.347 
(epoch: 150, iters: 50, time: 0.037, data: 0.130) D_A: 0.692 G_A: 0.224 cycle_A: 3.296 idt_A: 1.976 D_B: 0.409 G_B: 0.083 cycle_B: 7.837 idt_B: 1.327 median_A: 2.716 median_B: 7.923 
(epoch: 152, iters: 50, time: 0.037, data: 0.132) D_A: 0.384 G_A: 0.360 cycle_A: 2.624 idt_A: 1.777 D_B: 0.532 G_B: 0.000 cycle_B: 6.005 idt_B: 1.276 median_A: 2.650 median_B: 6.035 
(epoch: 154, iters: 50, time: 0.037, data: 0.134) D_A: 0.182 G_A: 0.191 cycle_A: 2.721 idt_A: 1.725 D_B: 0.444 G_B: 0.008 cycle_B: 5.192 idt_B: 1.372 median_A: 2.639 median_B: 5.338 
(epoch: 156, iters: 50, time: 0.037, data: 0.126) D_A: 0.767 G_A: 1.034 cycle_A: 2.684 idt_A: 1.670 D_B: 0.379 G_B: 0.065 cycle_B: 4.683 idt_B: 1.454 median_A: 2.601 median_B: 4.727 
(epoch: 158, iters: 50, time: 0.037, data: 0.133) D_A: 0.951 G_A: 0.143 cycle_A: 3.026 idt_A: 1.768 D_B: 0.332 G_B: 0.159 cycle_B: 4.244 idt_B: 1.726 median_A: 2.678 median_B: 4.277 
