================ Training Loss (Fri Sep 19 16:30:06 2025) ================
(epoch: 194, iters: 50, time: 0.051, data: 0.136) D_A: 0.138 G_A: 0.307 cycle_A: 4.455 idt_A: 1.474 D_B: 0.399 G_B: 0.612 cycle_B: 3.945 idt_B: 2.500 median_A: 2.989 median_B: 4.197 
(epoch: 196, iters: 50, time: 0.051, data: 0.168) D_A: 0.138 G_A: 0.224 cycle_A: 4.409 idt_A: 1.454 D_B: 0.283 G_B: 0.167 cycle_B: 4.087 idt_B: 2.301 median_A: 2.951 median_B: 4.405 
(epoch: 198, iters: 50, time: 0.052, data: 0.169) D_A: 0.230 G_A: 0.027 cycle_A: 4.409 idt_A: 2.366 D_B: 0.659 G_B: 0.020 cycle_B: 4.361 idt_B: 2.161 median_A: 2.936 median_B: 4.612 
(epoch: 200, iters: 50, time: 0.051, data: 0.163) D_A: 0.104 G_A: 0.326 cycle_A: 3.181 idt_A: 2.668 D_B: 0.283 G_B: 0.181 cycle_B: 4.206 idt_B: 1.553 median_A: 3.099 median_B: 4.381 
(epoch: 202, iters: 50, time: 0.049, data: 0.171) D_A: 0.256 G_A: 0.081 cycle_A: 3.655 idt_A: 2.009 D_B: 0.400 G_B: 0.698 cycle_B: 4.079 idt_B: 1.938 median_A: 2.905 median_B: 4.326 
(epoch: 204, iters: 50, time: 0.052, data: 0.151) D_A: 0.116 G_A: 0.440 cycle_A: 3.846 idt_A: 1.772 D_B: 0.266 G_B: 0.213 cycle_B: 4.037 idt_B: 1.990 median_A: 2.892 median_B: 4.281 
(epoch: 206, iters: 50, time: 0.051, data: 0.155) D_A: 0.184 G_A: 0.166 cycle_A: 4.020 idt_A: 1.734 D_B: 0.274 G_B: 0.107 cycle_B: 4.087 idt_B: 2.014 median_A: 2.901 median_B: 4.338 
(epoch: 208, iters: 50, time: 0.051, data: 0.145) D_A: 0.077 G_A: 0.602 cycle_A: 4.042 idt_A: 1.704 D_B: 0.302 G_B: 0.480 cycle_B: 3.971 idt_B: 1.976 median_A: 2.863 median_B: 4.238 
(epoch: 210, iters: 50, time: 0.051, data: 0.139) D_A: 0.010 G_A: 0.247 cycle_A: 4.076 idt_A: 1.655 D_B: 0.292 G_B: 0.073 cycle_B: 3.840 idt_B: 1.934 median_A: 2.878 median_B: 4.145 
(epoch: 212, iters: 50, time: 0.052, data: 0.129) D_A: 0.191 G_A: 0.019 cycle_A: 3.918 idt_A: 1.658 D_B: 0.309 G_B: 0.430 cycle_B: 3.781 idt_B: 1.891 median_A: 2.882 median_B: 4.089 
