================ Training Loss (Fri Sep 19 21:09:31 2025) ================
(epoch: 96, iters: 100, time: 0.227, data: 0.217) D_A: 0.326 G_A: 0.339 cycle_A: 9.120 idt_A: 2.433 D_B: 0.103 G_B: 0.816 cycle_B: 5.740 idt_B: 1.124 median_A: 9.204 median_B: 4.177 
(epoch: 97, iters: 100, time: 0.227, data: 0.216) D_A: 0.266 G_A: 0.160 cycle_A: 9.120 idt_A: 2.397 D_B: 0.633 G_B: 0.059 cycle_B: 5.610 idt_B: 1.108 median_A: 9.226 median_B: 4.199 
(epoch: 98, iters: 100, time: 0.225, data: 0.195) D_A: 0.425 G_A: 0.037 cycle_A: 9.099 idt_A: 2.347 D_B: 0.176 G_B: 0.286 cycle_B: 5.618 idt_B: 1.149 median_A: 9.212 median_B: 4.147 
(epoch: 99, iters: 100, time: 0.226, data: 0.223) D_A: 0.271 G_A: 0.169 cycle_A: 9.115 idt_A: 2.292 D_B: 0.198 G_B: 0.149 cycle_B: 5.616 idt_B: 1.111 median_A: 9.199 median_B: 4.090 
(epoch: 100, iters: 100, time: 0.228, data: 0.213) D_A: 0.585 G_A: 0.001 cycle_A: 9.115 idt_A: 2.282 D_B: 0.101 G_B: 0.311 cycle_B: 5.704 idt_B: 1.181 median_A: 9.168 median_B: 4.071 
(epoch: 101, iters: 100, time: 0.228, data: 0.262) D_A: 0.243 G_A: 0.274 cycle_A: 9.097 idt_A: 2.286 D_B: 0.129 G_B: 1.265 cycle_B: 5.793 idt_B: 1.122 median_A: 9.168 median_B: 4.018 
(epoch: 102, iters: 100, time: 0.226, data: 0.183) D_A: 0.208 G_A: 0.196 cycle_A: 9.090 idt_A: 2.260 D_B: 0.170 G_B: 1.315 cycle_B: 5.834 idt_B: 1.044 median_A: 9.157 median_B: 4.016 
(epoch: 103, iters: 100, time: 0.226, data: 0.219) D_A: 0.265 G_A: 0.460 cycle_A: 9.106 idt_A: 2.234 D_B: 0.051 G_B: 0.210 cycle_B: 5.707 idt_B: 1.105 median_A: 9.140 median_B: 4.029 
(epoch: 104, iters: 100, time: 0.226, data: 0.214) D_A: 0.251 G_A: 0.266 cycle_A: 9.095 idt_A: 2.220 D_B: 0.098 G_B: 0.378 cycle_B: 5.579 idt_B: 1.163 median_A: 9.150 median_B: 4.044 
(epoch: 105, iters: 100, time: 0.226, data: 0.213) D_A: 0.443 G_A: 0.525 cycle_A: 9.096 idt_A: 2.308 D_B: 0.009 G_B: 1.224 cycle_B: 5.558 idt_B: 1.332 median_A: 9.134 median_B: 3.952 
(epoch: 106, iters: 100, time: 0.224, data: 0.182) D_A: 0.317 G_A: 0.104 cycle_A: 9.101 idt_A: 2.290 D_B: 0.074 G_B: 0.972 cycle_B: 5.512 idt_B: 1.284 median_A: 9.139 median_B: 3.982 
(epoch: 107, iters: 100, time: 0.224, data: 0.235) D_A: 0.551 G_A: 0.002 cycle_A: 9.146 idt_A: 2.327 D_B: 0.336 G_B: 0.867 cycle_B: 5.510 idt_B: 1.137 median_A: 9.119 median_B: 3.872 
(epoch: 108, iters: 100, time: 0.224, data: 0.235) D_A: 0.342 G_A: 0.555 cycle_A: 9.116 idt_A: 2.269 D_B: 0.256 G_B: 1.069 cycle_B: 5.543 idt_B: 0.923 median_A: 9.118 median_B: 3.967 
(epoch: 109, iters: 100, time: 0.224, data: 0.234) D_A: 0.435 G_A: 0.091 cycle_A: 9.116 idt_A: 2.229 D_B: 0.143 G_B: 1.107 cycle_B: 5.580 idt_B: 1.104 median_A: 9.112 median_B: 4.087 
(epoch: 110, iters: 100, time: 0.225, data: 0.209) D_A: 0.299 G_A: 0.333 cycle_A: 9.064 idt_A: 2.198 D_B: 0.067 G_B: 1.286 cycle_B: 5.551 idt_B: 1.317 median_A: 9.105 median_B: 4.092 
